coluna,tipo,pct_na,n_unicos,constante,ano
d.cod_eas_fam,float64,48.59,876,False,2024
p.cod_trabalhou_memb,float64,30.38,2,False,2024
p.cod_trabalho_12_meses_memb,float64,30.38,2,False,2024
p.nom_munic_certid_pessoa,str,23.71,2991,False,2024
p.cod_ibge_munic_certid_pessoa,float64,23.7,3119,False,2024
d.cod_escoa_sanitario_domic_fam,float64,9.97,6,False,2024
p.grau_instrucao,float64,9.32,6,False,2024
d.cod_agua_canalizada_fam,float64,5.56,2,False,2024
d.cod_banheiro_domic_fam,float64,5.56,2,False,2024
d.cod_calcamento_domic_fam,float64,5.56,3,False,2024
d.cod_abaste_agua_domic_fam,float64,5.56,4,False,2024
d.cod_destino_lixo_domic_fam,float64,5.56,6,False,2024
d.cod_iluminacao_domic_fam,float64,5.56,6,False,2024
d.cod_material_piso_fam,float64,5.56,7,False,2024
d.cod_material_domic_fam,float64,5.56,8,False,2024
d.qtd_comodos_dormitorio_fam,float64,5.56,35,False,2024
d.qtd_comodos_domic_fam,float64,5.56,64,False,2024
d.qtd_pessoa_inter_0_17_anos_fam,float64,1.52,18,False,2024
d.qtd_pessoa_inter_65_anos_fam,float64,1.52,19,False,2024
d.qtd_pessoa_inter_18_64_anos_fam,float64,1.52,21,False,2024
d.qtd_familias_domic_fam,float64,0.38,40,False,2024
d.qtd_pessoas_domic_fam,float64,0.38,60,False,2024
p.cod_parentesco_rf_pessoa,float64,0.23,11,False,2024
d.cod_local_domic_fam,float64,0.11,2,False,2024
d.cod_especie_domic_fam,float64,0.11,3,False,2024
p.sig_uf_munic_nasc_pessoa,str,0.04,27,False,2024
p.nom_ibge_munic_nasc_pessoa,str,0.04,3327,False,2024
p.cod_ibge_munic_nasc_pessoa,float64,0.04,3492,False,2024
p.cod_raca_cor_pessoa,float64,0.01,5,False,2024
d.ind_parc_mds_fam,float64,0.01,14,False,2024
ano,int64,0.0,1,True,2024
d.cod_est_cadastral_fam,int64,0.0,2,False,2024
d.cod_forma_coleta_fam,int64,0.0,2,False,2024
d.marc_pbf,int64,0.0,2,False,2024
d.cod_familia_indigena_fam,int64,0.0,2,False,2024
d.ind_familia_quilombola_fam,int64,0.0,2,False,2024
p.ind_trabalho_infantil_pessoa,int64,0.0,2,False,2024
p.cod_sexo_pessoa,int64,0.0,2,False,2024
p.marc_pbf,int64,0.0,2,False,2024
p.cod_deficiencia_memb,int64,0.0,2,False,2024
p.cod_sabe_ler_escrever_memb,float64,0.0,2,False,2024
p.marc_sit_rua,int64,0.0,2,False,2024
beneficio_social_harmonizado,int64,0.0,2,False,2024
p.cod_est_cadastral_memb,int64,0.0,3,False,2024
p.cod_local_nascimento_pessoa,float64,0.0,3,False,2024
d.fx_rfpc,int64,0.0,4,False,2024
p.ind_frequenta_escola_memb,float64,0.0,4,False,2024
d.qtde_meses_desat_cat,int64,0.0,6,False,2024
fx_renda_individual_805,int64,0.0,8,False,2024
fx_renda_individual_808,int64,0.0,8,False,2024
fx_renda_individual_809_1,int64,0.0,8,False,2024
fx_renda_individual_809_2,int64,0.0,8,False,2024
fx_renda_individual_809_3,int64,0.0,8,False,2024
fx_renda_individual_809_4,int64,0.0,8,False,2024
fx_renda_individual_809_5,int64,0.0,8,False,2024
p.fx_idade,int64,0.0,13,False,2024
p.cod_pais_origem_pessoa,int64,0.0,51,False,2024
d.cd_ibge,int64,0.0,102,False,2024
d.val_desp_transpor_fam,float64,0.0,321,False,2024
d.val_desp_gas_fam,int64,0.0,355,False,2024
