cd_ibge,prob_risco,y_true
2702504,0.01173168344181342,0
2702504,0.05803098326178721,0
2702504,0.034067816032906185,0
2707107,0.009985462503390944,0
2707107,0.011323459302492714,0
2700201,0.02702201734808846,0
2700201,0.02568165404647978,0
2700201,0.03805674598662282,0
2701209,0.04121967676202665,0
2701209,0.046076971970107114,0
2701209,0.14150817957747858,1
2701209,0.1501124526285719,1
2707701,0.014400377492158296,0
2707701,0.019972228539390898,0
2706307,0.08749878869615425,0
2707206,0.05846021408368378,0
2707206,0.020933547977463593,0
2707206,0.020874859621496673,0
2707206,0.02705113956637959,0
2705705,0.07091150544700904,0
2705705,0.08141501594422017,0
2705705,0.1475009223061834,0
2705705,0.13833829306755688,0
2704401,0.021196028453738802,0
2704401,0.03160079365588829,0
2704609,0.010681277672387217,0
2704609,0.012671170821660626,0
2702405,0.07966941185467726,0
2705309,0.016238095425093156,0
2705309,0.015754848065661416,0
2705309,0.011112795670866047,0
2705309,0.013138698493184787,0
2705309,0.004860567213770486,0
2705309,0.004441117738830037,0
2705309,0.004383413507305279,0
2705309,0.01754742790443471,0
2705309,0.014231213713785057,0
2705309,0.02274349248532258,0
2705309,0.012813327024631298,0
2706307,0.07592340912884551,0
2700300,0.0456071434496239,0
2700300,0.03587246569806008,0
2701803,0.054072549830023575,0
2702504,0.036780866690163075,0
2702504,0.03434901835857941,0
2700300,0.09182614323411904,0
2700300,0.062105044416229487,0
2702504,0.03553441932980234,0
2702504,0.03838173872082755,0
2701209,0.0835974259273879,1
2701209,0.06004859364629559,1
2701209,0.09258279067680679,1
2702504,0.006075025617176575,0
2702504,0.015824571135658085,0
2702504,0.0044983797550770584,0
2702504,0.006933894355793246,0
2702405,0.035869123274810594,0
2702405,0.041690597732339026,0
2702405,0.02386825083650035,0
2702405,0.0169065130995457,0
2704609,0.016717103351530642,0
2704609,0.020962436575803385,0
2704609,0.01932374984218934,0
2706307,0.06334934376639437,0
2706307,0.0919474228074457,0
2704104,0.009100105458414616,0
2704104,0.0038376752592800623,0
2707701,0.03707529324305507,0
2707701,0.03259045910505482,0
2707701,0.051386580702464234,0
2707701,0.08401798748970285,0
2707701,0.29846534022429877,1
2707701,0.25701208782747864,1
2704104,0.011487823936580618,0
2704104,0.007619423292765263,0
2704104,0.016853510411646056,0
2704104,0.009409273969948416,0
2708956,0.026867666416175908,0
2705705,0.14149172807569702,0
2705705,0.2882555948654198,1
2705705,0.2971819423551063,1
2705705,0.33171704864763935,1
2705408,0.16641369497506392,0
2705408,0.07265680703453851,0
2705408,0.20180248826313443,0
2705705,0.401076526578852,1
2705705,0.2678167733823993,1
2705705,0.21304484844734115,1
2705705,0.2435077424183742,1
2705705,0.39437233171639063,1
2706307,0.7822483358998249,1
2706307,0.6578891792300574,1
2706307,0.7124934420497446,1
2706307,0.6653832922793925,1
2706307,0.7074724193494635,1
2706307,0.6967178628466656,1
2704104,0.014732396641435297,0
2704104,0.008377318877158127,0
2704401,0.007123816688642278,0
2704401,0.008974289854471207,0
2704401,0.00842587096308278,0
2704401,0.00750566863786282,0
2704401,0.008026378397660825,0
2706109,0.16294155869986407,1
2706109,0.10461748112181109,1
2702405,0.06337746924839571,0
2702405,0.3799086079259182,1
2702405,0.34586252164439935,1
2702405,0.34503770372697223,1
2702405,0.04471573143238631,0
2702405,0.029408260253068454,0
2704609,0.10525100577909727,0
2704609,0.17053497511424506,0
2704609,0.05540277426376662,0
2704609,0.05731032639547302,0
2708006,0.03244104849450959,0
2708006,0.05012096783017393,0
2708006,0.02076499970481447,0
2708006,0.01716553478057547,0
2708006,0.02217848374660247,0
2707206,0.05140124840896643,0
2707206,0.039220692003878656,0
2707206,0.039220692003878656,0
2704708,0.16465561694816805,0
2704708,0.11137020314157804,0
2704708,0.11500975057667231,0
2708956,0.011350818918891016,0
2704609,0.05522069375020005,0
2706000,0.03231776008707437,0
2706000,0.02079870553883016,0
2706109,0.8274043833162351,1
2706109,0.6925702547782753,1
2706109,0.7762708871819918,1
2706109,0.7961174243262609,1
2706109,0.8031975166122223,1
2706109,0.029641424886817938,0
2706109,0.03916823982818926,0
2706109,0.09645073905218779,0
2706109,0.03933244307513712,0
2706109,0.041649336243230785,0
2706109,0.18699387553876484,0
2700201,0.004803735920529217,0
2700201,0.0050714693697328644,0
2704401,0.027131152227240763,0
2704401,0.06457032393073096,0
2701803,0.01371020126126549,0
2701803,0.012930242651839756,0
2701803,0.01021754076459543,0
2701803,0.016177818402139502,0
2701803,0.012812722504194006,0
2701803,0.024568071964385076,0
2704104,0.020188034065003448,0
2704104,0.025936709414933992,0
2702306,0.005020848748508997,0
2702306,0.006561338581126946,0
2703304,0.021782461428130364,0
2703304,0.03254255110786945,0
2703304,0.025852121046871242,0
2703304,0.038914980266551075,0
2703304,0.026615406836824448,0
2703304,0.01921466090450497,0
2703304,0.032000254974346096,0
2703304,0.01219860387056964,0
2703304,0.010192047161788946,0
2703304,0.00798280719579012,0
2703304,0.014581011000273023,0
2703304,0.013485434807102358,0
2703304,0.02787328682197177,0
2703304,0.01588168022456626,0
2706703,0.062271340655811754,0
2706703,0.23325604071942316,0
2706703,0.29078963381581285,0
2706703,0.09310248326043094,0
2706703,0.08479238900742099,0
2706703,0.046618251216876114,0
2706703,0.06105882197480676,0
2706703,0.059181553365271575,0
2706703,0.09282443455218119,0
2706703,0.07284742594252373,0
2706703,0.06606388843303494,0
2706703,0.18496624770059852,0
2706703,0.19468707459448734,0
2703304,0.010772670029042362,0
2703304,0.01670793208522358,0
2703304,0.016764949163465923,0
2703304,0.008536821159759981,0
2703304,0.010083360609444801,0
2703304,0.01484978006126056,0
2703304,0.012198293082282739,0
2703304,0.007610980010504767,0
2706307,0.11677263618777523,0
2706307,0.11166786192747952,0
2706307,0.012293388372364412,0
2706307,0.06068692448532141,0
2706307,0.042291769851657675,0
2706307,0.08082267607082723,0
2706307,0.052130232133693166,0
2706307,0.05619051516005799,1
2703205,0.09429645024339882,1
2703205,0.11699341835099376,1
2703205,0.07935799662121844,1
2700300,0.0030634493443936635,0
2700300,0.002706304877314094,0
2700300,0.004824113239074669,0
2700300,0.007476525386007715,0
2700300,0.005188019001085296,0
2700300,0.0064728289400382034,0
2708006,0.02986126251844922,0
2708006,0.025758708357889296,0
2704708,0.03311029722151367,0
2704708,0.05040719708878329,0
2704609,0.14415067196595627,0
2704609,0.1851593276592479,0
2702504,0.015775880354202524,0
2702504,0.04010592722284027,0
2706000,0.005181302310275424,0
2706000,0.007466962578877663,0
